,review
464,barang bagus mantap tidak perlu beli tv androit cukup pakai alat ini wis bagus
0,barang tidak fungsi
11,produk sesuai yang di gambar bagus
448,laptop budget yang sangat lengkap di kelas warna biru mewah value untuk uang oke sekali
22,produk bagus dan asli namun kirim lama benget kurang lebih satu bulan baru sampai
542,barang tidak sesuai barang dan sangat kecewa walau baca hanya satu data video yang bisa putar lebih tidak bisa
247,barang bagus sesuai iklan
393,produk asli resmi cepat sampai pula
307,terima kasih kamu
89,barang datang cepat sesuai permintan emas rapi pokok recomendet dan puas
185,lebih tipis build kualitas atas lenovo warna hitam dove keren layar ips sd core ilima sudah delapan th gen fingerprint dapat geforce mxseratus tiga puluh pula paling nila it untuk kelas insatu yang bisa lumayan gaming dapat pas harga promo pula kurang agak berat nyata untuk satu tujuh kg kalau pegang mode tablet
153,barang bagus gambar dan suara juga bagus atas deh pokok emas juga rapi pakai kayu terima kasih lazada terima kasih juga multi digital moga barang bisa awet iya
362,barang sudah tiba dengan baik flashdisk bagus dan utama berfugsi dengan baik terima kasih untuk lazada dan seler
18,delapan hari baru sampai sistem kosong rot saja tampil jadi harus instal ulang packingan rapi dan segel
228,paket lama sekali
280,saya sangat puas barang juga oke terima kasih lazada
499,nyata kecele dengan produk ini cuma ada colok untuk usb tipe c untuk masuk ke telepon genggam saja tidak ada colok usb standar untuk di sambung ke laptop kurang etail baca deskripsi produk
222,gambar tidak lihat
199,uang sudah puluh hri belum di kembali proses lama kaya keong
177,usb delapan gb ini tidak bisa di pakai
349,barang oke
54,barang bagus sekali kirim cepat
462,baru mesan belum jam tiga pas esok siang barang sampai dengan selamat tanpa kurang cacat satu padahal alamat di luar jakarta
46,cara cicil gmna iya kak
93,bisa tidak saya ambil televisi ini di ngan di kredit
428,barang terima dalam kondisi sempurna dan bisa fungsi dengan baik
274,laptop ini bagus slim dan enteng performa juga bagus belum buka aplikasi berat sih tapi waktu buka file foto cepat sekali ngak mau kalah sama komputer kantor yang itujuh ram enam belas gb besok coba buat edit foto ngomong-ngomong untuk slot sd kartu hanya bisa micro sd jadi buat fotografer yang pakai sd kartu harus beli adapter lagi esel kirim cepat sekali tidak sampai empat jam dalam kota jakarta emas pakai buble meski box sempat penyok dikit tapi untung di bagi bawah jual mesti wanti wanti ke kurir untuk lebih hati hati
560,paket terima dalam adan baik terima kasih
561,sangat trust walaupun sempat fre barang tidak lengkap tapi admin bertangung jawab untuk kirim lagi layan oke sekali thankyou
422,terima kasih barang sudah terima dengan kemas yang baik dan tidak terlalu lama
381,barang mantap recomonded
176,tidak bisa pakai begitu copy file hilang
332,wd my paspor sesuai pesan dan dapat fre hard case
324,sudah hampir mingu barang tidak kunjung datang
543,barang sudah datang cuma emas kurang aman tidak pakai kayuatau buble mudah mudah awet
512,keren saudara laki
414,suka
69,produk hgst drive inside model wdelapan puluh ezx lima ribu empat ratus rpm tiga lima drive western digital bought hgst hitachi global storage technologies back in dua ratus satu dua ratus satu combining yang two companies technologies together kamu get everything kamu ned inside yang box yang drive tenaga cable dan usb yang drive comes dengan acronis true image wd edition software which gives kamu ned untuk making system dan file backups dengan including scheduled maintenance it has usbtiga conection which adalah compatible dengan usb usb seler sangat prompt respon shiped lanjut day dengan lazada expres
287,kemarin saya sudah kasih bintang lima stlah saya coba pakai hari laptop sudah beratatau lambat hari ini saya mau coba instl ofice dak bisa karena sudah lambat duluan dak bisa nyelesaikan sampai sore dak selesai pasang ofice mohon solusi dari seler
188,barang lumayan bagus tebal jadi aman untuk hardisk harga sesuai
192,barang tidak sesuai dan gambar
204,asli asli hanya kirim lama
149,barang sudah terima emas rapi moga awet
124,barang terima dengan baik cara seluruh fungsi baik tapi kok capacity storage hanya lima puluh tujuh gb tidak sesuai tulis enam puluh empat gb
470,terima kasih barang sudah sampai dan sudah saya testing moga awet
352,lazada atau juan yang koplak barang belum terima bilang sudah terima
535,mantap sampai tuju rapi kemas nya
486,puas bgtz barang bagus cepat sampai terima kasih lazada
360,mantap moga awet dan barokah
388,it s working wel
319,barang sesuai ekspektasi
516,layan seler sangat memuaskn
399,minta warna hijau seperti gambar tapi yang kirim warna merah
114,status sudah kirim tapi kok belum sampai iya
141,barang datang dengan kondisi baik dan sesuai
296,sangat muas
250,kok barang saya beli mahal mahal pas mau guna nyata tidak bisa nyala mohon ganti dong barang yang saya beli ini
482,kapasitas enam puluh empat gb tidak sesuai dengan barang yang saya terima kapasitas flasdsik yang saya terima tertawa lima puluh sembilan gb saya tidak rekomendasi barang ini untuk beli karena tidak sesuai
19,bagaimana ini barang sudah bulan lebih tidak datang datang status di lazada pun belum di proses di kirim mohon folow up lazada team
172,barang oke waktu kirim cepat respon jual cepat
396,emas bagus barang sampai dengan aman
56,mantap
511,sangat puas
375,bagi yang minat orderatau pesan barang kami untuk lebih pasti sila ada whatsapatau whatsapp delapan puluh lima delapan puluh lima langsung dari reseler toko terimah kasih
395,barang asli ada hologram emas bagus cepat respon rekomendasi seler
371,barang asli
526,barang sampai cepat sekali sesuai juga puas
505,saya ingin batal pesan produk ini
433,jelek produk
25,barang tidak sampai ke saya tidak tahu sampai kmana
403,barang alhamdulilah sudah sampai namun belum bisa buka belum ada aplikasi windows jadi nungu di instal dulu belum tahu sih bagus engak nanti kalau sudah bisa aku koment lagi
304,barang sih bagus sesuai pesan
498,tertawa tertawa tidak seperti yang di bayang
42,produk sesuai dengan yang saya mau
364,exelent juragan tingkat kan penjualanya
210,sudah hari mesan kenapa status masih di proses iya
325,kali saya mes barang dari seler ini dan kali batal pertama saya pesan h dari seler ini kemudian telah bayar bahkan batal saya pikir salah sistem lalu sat saya pesan yang ke kali saya kombinasi dengan seler ini dan seler lain alhasil nyata tertawa pesan dari seler ini yang batal nyata masalah memang ada di seler ini belanja daring itu paling ribet kalau kembali dana
231,barang sudah sampai cepat respon produk memang pick tidak cawak lah pokok mantap juragan
333,saya sudah kali kali beli lewat lazada laptop ini adalah barang puas yang pernah saya beli dan pakai memang ram kecil tertawa empat gb tapi jika ingin sped jadi kenceng akalin dengan hardisk sd terima kasih
154,bagus cepat pngirimanx
126,pesan sudah sampai terima kasih banyak
487,bentuk beda sama yang gambar tapi nomor pronlem lah yang pnting bisa dipake
301,bagus
390,pesan hari senin sampai di sidoarjo pas hari rabu atas
174,terima kasih untuk telepon genggam chat benar benar cepat sekali respon dan kirim juga cepat sekali laptop sampai dengan aman dan selamat
31,barang sudah terima dan kerja dengan baik emas rapi sesuai dengan harap kirim juga cepat tapi bonus kurang tarik tapi ngak apa puas deh di
113,sesuai ekpektasi mantap jiwa
227,ntabs
173,produk bagus coba langsung conec
275,berapa inci itu barang boz
209,barang asli bagus kirim cepat terima kasih seler dan lazada
57,ini flasdisk opo flasdisk kok ora iso di buka isi file buang buang uang ae
281,barang sudah datang dan fungsi baik sayang kabel krg umum di tempat saya jadi kalau rsk masih cara cdngan wlo smpe sekarang masih baik baik saja
24,mudah pakai gambar tajam banyak fungsi tambah seperti digital tv digital cable tv digital satelite tv receiver yang sudah inbuilt dukung speaker yang hebat harga jangkau luar biasa sayang banyak yangbelum tahu
17,barang sampai lebih cepat dan dalam kondisi sangat baik sudah di test dan jauh ini puas dengan performa
261,mantap
66,biar bintang yang bicara
265,keren habis harga murah kualitas nomor murah
289,memang harga cukup jangkau untuk ukur kapasitas tiga tiga gb tapi untuk kualitas kecewa flash disk bisa simpan file tapi beberapa file langsung corupted karena ber virus beberapa kali simpan file langsung corupted dan tidak bisa buka
495,barang jelek sekali harus tiga tiga gb baru di isi sekitar empat lima gb mulai jadi lambat makin lama makin lambat kalau di isi foto total di bawah lima gb masih oke lebih error tapi tidak ada error pemberitahuan tertawa waktu foto di buka error opening beli lima unit semua sama kapok
278,barang cepat sampai mantap deh pokok nya
467,bagusplus pas
336,barang tidak ada yang jadi tidak bisa simpan data kapasitas enam enam gb tapi data tidak baca atau tidak bisa simpan data maklum barang palsu
94,barang sesuai
180,bagus moga awet dan tahan lama terima kasih lasada
523,luar oke kapasitas oke tapi sayang tidak bisa simpan video
92,barang oke bagus
23,luar biasa
290,kok ngak dapat tasatau bag iya
537,zesuai gambar
271,great barang
5,bagus
116,produk okay
45,yang produk adalah bagus dan jangkau nevertheles terima kasih lazada
220,sesuai bagus dan lucu
423,barang bagus banget mudah tahan lama
338,mantap juragan new dan asli
331,barang sudah sampai kok langsung ke telepon genggam tidak bisa iya saya mesan biru dtng merah ehm
16,bagus sekali puas lah tapi kecil sekali
48,barang rusak tidak bisa di pakai
519,tv keren kirim cepat terima kasih lazada
513,mantap sekali sesuai deskripsi moga bisa beli lagi untuk kerjan
3,barang sampai dengan selamat emas lumayan dan barang fungsi sesuai yang harap mantap
447,kirim cepat dan rapi barang terima baik barang telah guna dengan hasil mantap
436,barang sudah tiba dengan selamat fungsi baik terima kasih seler lazada dan kurir
60,layan bagus sih cuma produk yang tidak bagus
196,barang bagus dan sesuai mantap rekomendasi seler
335,kirim cepat barang sesuai ekspektasi
541,laptop bagus rekomendasi buat uc technologi
110,terima kasih iya bantu alhamdulilah
382,barang datang begitu pakai nyata error bagaimana ini bisa tukar ngak
521,barang masih ada tidak
29,i suka this desain so convenien
525,kapan datang lagi
225,kami kecewa flsdis tudak bisa guna tertawa bisa simpan data namun tidak dapat baca kembali
249,mohon di cek kembali sudah benar untuk harga apa belum
26,saya belum terima paket saya tapi ulas sudah kirim bukti kirim tulis tertawa satu aman biasa bila yang terima satu aman dia tulis nama satu aman rumah kami amanah ini siapa yang tidak jujur kurir atau seler saya sangat kecewa dan marah baru kali ini saya tipu belanja dilazada
7,rekomen
181,luar biasa laptop mantap jasa kirim cepat hari saja emas rapi dan aman barang datang dhnkeadan sangat baik lebih expetasi bahkan
50,tv dmna pak saya tertawa terima surat invoice saja tapi barang tidak ada mohon untuk tindak lanjut
108,barang belum di terima tapi ada notifikasi barang sudah terima coba cek dulu baik baik belum send notifikasi dulu pesan tas anak merek onlan jasa kirim lewat lex alhasil barang di send balik ke pusat alas kata kantor tidak temu buset hotel besar di pusat kota makasar tidak ketemu sekarang pesan fd jasa kirim lex barang belum di terima tapi ada notifikasi sudah terima hadeh
229,barang asli dan fungsi dengan baik
37,wah super cepat cuma tiga hari sudah di gengaman terima kasih banyak profesional
157,barang ini belum saya terima
237,barang mantap terima kasih
536,asli
175,magic pointer tidak compatible kenapa iya
437,saya cari laptop yang ringan dan tipis saya temu produk ini dari harga dan spesifikasi yang tawar saya sangat puas cukup ringan dan tipis spesifikasi pun bagus untuk kelas dan harga oke telah saya coba semua jalan dengan sangat baik dan mesin tidak cepat panas batery pun tahan lama saya bisa pakai lima enam jam untuk software sudah include windows delapan satu trackpad dan layar sentuh fungsi dengan sangat baik rekomendasi buat yang cari laptop multifungsi dengan harga yang oke dengan spesifikasi yang di ada cukup tipis dan ringan
305,ini laptop mantel sekali saya beli pakai uang ambil dari orang tua he mantel lah
194,kecewa dan kecewa barang tidak bisa guna asli ragu dan tidak ada respon
442,produk bohong fre otg tidak ada mohon di ban toko seperti begini lazada
67,semua jalan terima kasih lazada
320,saya pesan hardisk ini tangal juni dengan fasilitas gosend sampai hari yang sama tapi sampai sekarang belum sampai mohon segera di proses
168,paket rapi barang sesuai pesan kirim sesuai layan produk asli dan mudah an awet
284,bagus dan bisa otg cepat data tranfers juga bagus
450,lancar jaya buat di pakai
193,saya pesan flashdisk kunci tapi datang kok model kartu
152,barang sangat bagus emas baik rapi dan pakai plastik gelembung cuma saya ingin laptop yang empat belas empat belas
286,barang fungsi dengan baik
478,bisa ok
426,usb sudah coba lumayan bagus kapasitas dekat tiga tiga gb seluruh oke
432,cara seluruh cukup baik terima kasih
103,tampa sidik jari tampa pen tampa led harga tidak pernah bohong sesuia dengan anka terima kasih
341,tepat waktu
74,bekas iya
369,sudah sampai emas rapi cepat proses trmksh toko klik dan lazada
539,sayang sekali juragan di telepon genggam q vivo ylima puluh tiga tidak suport
119,ram delapan gb atau empat gb
534,mantap cek fungsi normal mudah mudah awet
357,mantap sesuai ekspektasi
424,bagus desain engough lima puluh enam mbak just what i want
496,fungsi dengan baik
546,its cepat dan strongly build
299,sangat baik
353,terima kasih bos sudah saya terima sesuai pesan mantap betul
551,masih jual enam puluh empat mbak
329,yang pes satu satu gb yang tiba enam puluh empat gb tipu ini nama
36,puas sekali dengan barang kirim juga cepat sekali
139,bagus
253,barang sudah sampai
340,mantap betul moga awet bakal langanan
59,barang mantap sesuai harap dan tidak ragu lagi
111,saya belum terima pesan ini tapi imformsi sudah rima tlg bantu iya
316,produk sesuai
497,sudah ditrima dengan selamat memang pick sesuai gambar terima kasih lazada
262,aman kendali cepat sampai seler ramah sekali
431,gimn cara datg sms paket dahbterima dari hongkong iya aku belum terima barang mohon bantu lasada sudah lama lagi nungu tolong di hubung kembali saya belum terima barang pesan saya
297,bagus emas rapi dan aman hanya kirim saja agak lama
150,barang sudah terima tidak sesuai gambar yang klan lengkap speaker yang kirim tanpa speaker kecewa type yang sama tanpa speaker pada seler lain jauh lebih murah
266,punya kok tidak ada kartu garansi dan segel juragan nanti buat klaim garansi bagaimana cara iya
456,produk bagus hanya kirim lambat emas juga rapi
38,jual ini parah pesan saya batal pihak kembali dana lama sekali saya pesan lima buah bayar di tempat tidak ada masalah ini sudah tidak bisa bayar di tempat batal lama lagi kembali uang saya
376,barang tidak fungsi sama sekali tolong donk kalau mau jual itu yang jujur
198,barang terima dalam kondisi dan fungsi baik moga awet
310,barang jelek
146,tidak bisa untuk save pdf file
468,kok lama iya
147,dari flasdish tertawa satu yang fungsi dengan baik yang lain tidak bisa guna
367,cepat sampai so far bagus fungsi semua hanya emas lanjut kasih buble at kotak kayu dong supaya aman terima kasih
342,paket sudah darat
123,hai we are tidak receive yang tv but kamu remarked that gods already received
441,barang sangat bagus
96,seler incapable to kep his produk page clear yang tv shown adalah tidak empat puluh tiga klima ratus empat puluh tiga klima ratus it adalah yang empat puluh tiga klima ribu ratus i thought it adalah so i bought it turned out that it was yang wrong one having al yang hasle of bringing a empat puluh tiga inch tv to yang post ofice untuk return terima kasih a lot ngomong-ngomong kirim of yang tv was aligned dengan yang courier untuk puluh private message dan i waited until sebelas private message but he never came waste of waktu he brought it yang lanjut day without notifying me ahead instead he was terorizing me beli phone why i am tidak home to receive it apa
143,bagus dan mantap
239,barang ini jangan di beli sesal sebentar barang tidak bisa pakai
328,bagus pngiriman tepat waktu
97,ukur lumayan mungil tapi pas buat pasang tenaga bank dan telepon seluler jadi aman simpan
471,barang bagus mantap
293,barang fungsi dengan baik tertawa ujung agak bengkok
420,saya puas dengan laptop asus emas rapi barang okay terima kasih
122,barang sesuai gambar cara seluruh sangat bagus terima kasih
183,barang bagus plus sesuai spesifikasi tapi barang yang saya ingin sesuai dengan gambar
202,sesuai pesan
323,terima kasih kirim cepat
246,mantap tv mksih seler mksih lazada mas kurir juga baek sekali
365,respon jual sangat baik kami sangat bantu terima kasih
355,cheap price but tinggi kualitas working tidak jelek
421,mantap betul pakai optane
473,oke sesuai sama deksripsi
472,kapasitas tidak sesuai paling hanya bisa nyimpan enam belas gigan
411,respon bagus barang juga sama emas baik bagus lah inti
125,flashdisk asli emas bagus saya suka terima kasih
361,barang sesuai pesan sudah di test dan fungsi dengan baik
223,oke ok
500,ok befunsi barangnta
219,ntbk ungu ada
129,barang asli segel rapi sesuai deskripsi dan ekspektasi auto lima terima kasih
502,tepat
460,harga murah tapi tidak murah baca dengan baik terima kasih lazada dan seler
416,bagi yang minat orderatau pesan barang kami sila ada whatsapatau whatsapp delapan puluh lima delapan puluh lima langsung dari reseler toko terimah kasih
452,saya pesan usb flashdisk toshiba delapan gb untuk hadiah orang nyata telah di cek kapasitas hanya satu satu delapan mbak harga memang murah tapi hati hati waktu terima barang kecewa berat beli tiga buah satu tidak ke detect tidak benar cowok
346,terima kasih ke sesuai pesan dapat bonus lagi sukses iya
425,sudah di terima responsif pokok ok lah
408,pesan tanggal delapan sekarang belum di kirim bahkan pihak toko minta tambah uang
294,terima tapi kondisi dus sangat kotor
439,ini yang belum tahu karena barang belum sampai tidak kirim tapi seler dengan respon baik akan kirim dengan pesan lanjut terima kasih
405,mohon informasi saya pesan delapan unit baru terima kasih
363,bisa cicil tidak
112,produk muas harga murah kualitas juarah meski sempat dapat barang defect langsung tangan dengan cepat
179,visual barang mulus dan bagus lengkap hardisk sudah bukan asli thinkpad tas ada charger ada fungsional window tujuh plus ofice lengkap driver oke batery tahan lima jam
