rating,review,aspect_category,word_count,avg_word
3,"'membantu','kondisi','pandemi','tolong','dievaluasi','ketersedian','obat','apotek','rekanan','halodoc','kota','manado','resep','obat','batuk','apotek','suka','habis','sia','sia','konsultasi','dokter','ujung','ujung','obat','diresepkan','apotek','rugi','chat','dobel','biaya','masukan','halodoc','pakai','fitur','chat','us','customer,service','halodoc','sb','customer,service','mengubah','produk','obat','menyarankan','konsultasi','dokter'",Pelayanan,49,7.959183673469388
5,"'konsultasi','dokter','halo','doc','bagus','sih','durasi','cepat','ta','ta','dokter','sdb','di,akhir','dokter','chatingan','oke','bantu','terima,kasih','iya'",Pelayanan,21,6.523809523809524
1,"'astaga','obat','beli','obat','halo','doc','harga','masuk','akal','kali','lipat','replay','chat','bantuan','belas','kali','coba','pembayaran','resep','c','bank','berbeda','obat','gagal','solusi','penyelesain','berulang','kali','gagal','harga','obat','masuk','akal','semoga','halo','doc','banding','pesaing'",Harga,38,7.078947368421052
5,"'terima,kasih','halodoc','pelayanan','cepat','pengiriman','thanks','tertawa','nambahkan','halodoc','pelayanan','pengiriman','obat','thanks','halodoc'",Pelayanan,15,9.0
1,"'menelepon','nomor','halodoc','hadiah','halodoc','konfirmasi','aplikasi','halodoc','mengadakan','hadiah','email','nomor','telepon,genggam'",Sistem,14,8.928571428571429
5,"'sumpah','alternatif','miris','keuangan','tempered,glass','sakit','dirasa','hemat','pakai','aplikasi','bagus','pekerjaan','halodoc','cocok','anak','kosan'",Harga ,17,8.117647058823529
1,"'konfirmasi','customer,service','berguna','selesai','dikomunikasikan','diulang','di,mana','dikasih','bukti','screnshot','ampun','ampun','iya','munculin','aplikasi'",Pelayanan,17,8.647058823529411
5,"'membantu','disat','darurat','rumah','anak','tetiba','anak','sakit','obat','habis','pesan','dihalodoc','harga','obat','enak','dicarikan','termurah','terima,kasih'",Harga,19,7.578947368421052
4,"'suka','suka','aplikasi','berbeda','aplikasi','sebelah','penjelasan','rekomendasi','obat','dokter','kesel','konsultasi','dokter','melewatkan','ganti','dokterpun','saldo','berkurang','dikembalikan','semingu','mohon','diperhatikan','dokter','sibuk','aktivitas','menyalakan','konsultasi','penguna','tertawa','mengunakan','apl','keadan','darurat'",Pelayanan,33,9.393939393939394
5,"'membantu','konsultasi','whatsapp','sat','pandemi','chat','respon','plus','prihal','membantu','terima','kasih','halodoc'",Pelayanan,13,8.307692307692308
1,"'kali','telepon','mengatas','nama','halodoc','aneh','penelpon','email','bilang','uang','juta','rupiah','aplikasi','halodoc','memprivasi','email','sehinga','mengambil','keuntungan','menipu','tolong','privasi','perketat'",Sistem,23,8.521739130434783
5,"'keren','cepat','bagus','membantu','tertawa','rumah','cek','kesehatan','aman','dimasa','pandemik','covid','sembilan','belas'",Anekdot/Serbaneka,14,7.928571428571429
5,"'membantu','jam','anak','sakit','konsultasi','dokter','terima','kasih','halodoc','adi','suryadinata','sp','a','membantu'",Pelayanan,14,7.642857142857143
5,"'membantu','mempermudah','mencari','obat','obatan','respon','cepat','pesan','puluh','terima,kasih'",Pelayanan,11,8.0
1,"'pulang','hapus','aplikasi','halodoc','kecewa','profesional','di,bagian','chat','customer','terima','kasih'",Pelayanan,12,8.0
2,"'konsultasi','pembayaran','pakai','c','kali','gagal','walopun','keterangan','dana','dikembalikan','konsultasi','coba','malas','tolong','sistem','pembayaran','diperbaiki'",Sistem,17,9.0
5,"'ngebantu','disat','pergi','rumah','sakit','antrian','dekat,sekali','aplikasi','ngebantu','praktis','takut','langsung','konsultasi','dokter','dikasi','resep','makasi'",Anekdot/Serbaneka,18,8.277777777777779
1,"'ralat','kembalikan','bayar','aplikasi','membantu'",Sistem,5,9.2
1,"'jujur','puas','nasihat','nasihat','penjelasan','dokter','disayangkan','konsultasi','aplikasi','puluh','menit','otomatis','berhenti','berta'",Pelayanan,14,9.071428571428571
5,"'membantu','obat','dicari','dibeberapa','apotek','kosong','lengkap','pemakaian','gampang','thanks'",Pelayanan,10,8.9
5,"'aplikasi','membantu','kesehatan','produk','kesehatan','mengunakan','aplikasi','konsultasi','penyakit','beli','obat','obatan','produk','kesehatan','aplikasi','memilih','halodoc','langsung','konek','akun','gojek','terima,kasih','pelayanan','sukses','halodoc'",Anekdot/Serbaneka,26,8.923076923076923
1,"'tolong','iya','ditindaklanjuti','respon','email','chat','transaksi','kali','beli','gopay','kurir','mengantar','kecewa','pengembalian,dana'",Pelayanan,15,8.333333333333334
5,"'aplikasi','bagus','Cuma','saran','adakan','opsi','pembayaran','gerai','kaya','alfamartatau','indomart','ngebantu','remaja','orang','orang','gapu','gopayatau','catau','debitatau','et,cetera'",Anekdot/Serbaneka,21,8.095238095238095
5,"'oke','aplikasi','ketemu','di,mana','respon','dokter','cepat','bagus','pertahankan','membantu'",Anekdot/Serbaneka,11,7.636363636363637
5,"'aplikasi','nomor','ribet','membantu','keliling','apotek','obat','obat','jarang','tersedia','diapotik','konsultasi','dokter','mudah','pelayanan','ramah'",Pelayanan,16,8.5625
5,"'membantu','aplikas','khawatir','mendadak','malam','butuh','obat','halodoc','membantu'",Pelayanan,9,8.666666666666666
5,"'sangan','membantu','sat','isoman','membeli','obat','sehinga','mencegah','penularan','virus','orang'",Pelayanan,11,8.181818181818182
5,"'halo','kakak','kakak','daftar','iya','masukan','email','nomor','telepon','masuk','nungu','iya'",Sistem,12,7.0
5,"'membantu','orang','malas','rumah','aplgi','nungu','antre','dokter','pelayanan','cepat','resep','akurat'",Pelayanan,12,7.75
5,"'kali','coba','membantu','sat','pandemi','covid','rumah','diagnosis','beli','obat'",Pelayanan,10,7.3
5,"'halodoc','memudahkan','antre','rumah','sakit','konsultasi','aplikasi','obat','diantar','rumah','so','helpful'",Pelayanan,12,8.25
5,"'alhamdulilah','halodoc','membantu','sat','pandemic','dokter','spesialis','juara','juara','semoga','pertahankan','bagus','halodoc'",Pelayanan,13,9.076923076923077
5,"'admin','suntik','vaksin','dosis','tanggal','sembilan','tanggal','sebelas','teman','sms','suntik','vaksin','dosis','admin','mohon','pencerahanya'",Anekdot/Serbaneka,16,8.125
5,"'konsultasi','pertanyan','pertanyan','antisipasi','rumah','membantu','terima','kasih','sudh','menyediakam','apliksi'",Pelayanan,11,9.636363636363637
5,"'terbantu','aplikasi','kemarin','cari','resep','dokter','muter','muter','apotek','terdekat','ketemu','aplikasi','terbantu','capek','capek','muter','muter'",Pelayanan,17,8.117647058823529
3,"'umur','enam','belas','pu','uang','konsultasi','dokter','konsultasi','bayar','solosi','pertanyan','it','tolong'",Anekdot/Serbaneka,13,7.615384615384615
5,"'aplikasi','bagus','chat','psikiatris','mudah','daring','dokter','ramah','menghakimi','mengerti','keadan','terima','kasih','halodoc'",Pelayanan,14,8.5
5,"'terima,kasih','bermanfat','aplikasi','konsultasi','dokter','mudah'",Anekdot/Serbaneka,7,8.714285714285714
5,"'alhamdulilah','vaksin','i','kendala','efek','samping','tertawa','timbul','ngantuk','divaksin'",Anekdot/Serbaneka,10,8.5
5,"'kecepatan','pengiriman','kilat','harga','obat','obatan','berbeda','apotek','langsung','over','al','i','proud','halodoc'",Pelayanan,14,7.642857142857143
1,"'aplikasi','jelek','kali','pesan','apotek','obat','suruh','dibatalkan','dibatalkan','bermslh','telepon','customer,service','batalin','tempered,glass','jam','batalin','pas','btl','saldo','halo','doc','tempered,glass','kerja'",Pelayanan,26,7.615384615384615
5,"'bagus','konsultasi','dokter','rumah','sakit','khawatir','kena','covid','murah','harga','berkonsultasi'",Harga,11,8.454545454545455
3,"'pelayanan','cepat','aneh','pembayaran','memakai','kartu','kredit','kartu','tersedia','available'",Sistem,10,8.8
2,"'aplikasi','ngelag','coba','uninstal','telepon,genggam','aplikasi','berat','telepon,genggam','jalan','halodoc'",Sistem,12,8.25
5,"'dokter','hebat','hebat','fokus','keluhan','derita','terima','kasih','halodoc'",Pelayanan,9,7.777777777777778
5,"'kali','mengunakan','halodoc','efektif','murah'",Harga,5,8.6
5,"'bagus','membantu','pu','luang','dokter','dokter','bagus','layanan','kesehatan','beragam'",Pelayanan,10,8.0
5,"'respon','keluhan','team','customer,service','sat','respon','update','respon','team','customer,service','cepat'",Pelayanan,13,7.615384615384615
5,"'membantu','konsultasi','dokter','langsung','repot','rumah','sakit','faskes','terima','kasih','halodoc'",Pelayanan,11,8.454545454545455
1,"'menelpon','agen','helodoc','kerna','nomor','rekening'",Anekdot/Serbaneka,6,8.166666666666666
1,"'bintang','kode','voucher','vaksinasi','kasih','bintang','semingu'",Pelayanan,7,8.571428571428571
5,"'bagus','dokter','responsif','lumayan','enak','diajak','diskusi','logis','analisis','sat','deg','degan','dokter','dirs','ketemu','senang'",Pelayanan,16,7.625
5,"'enak','antre','disat','sakit','chat','langsung','dibales','obat','diantar','terima','kasih','holodoc'",Pelayanan,12,7.583333333333333
5,"'puas','konsultasi','di,sini','sat','pandemi','dokter','ramah'",Pelayanan,8,6.875
4,"'memuaskan','balas','cepat','pilihan','dokter','meresepkan','obat','mahal','semoga','cocok'",Harga,10,8.2
3,"'selamat','sore','admin','aplikasi','halodoc','bekerjasama','medicilin','mohon','admin','terima','kasih'",Anekdot/Serbaneka,11,8.545454545454545
5,"'membantu','sat','urgent','langsung','tindakan','selanjut','dokter','ramah','terima,kasih','halodoc'",Anekdot/Serbaneka,11,8.181818181818182
4,"'konsultasi','putri','farisa','sp','konsultasi','selesai','resep','obat','terima','kasih'",Pelayanan,10,8.0
5,"'suka','menu','konsultasi','dokter','memudahkan','mencari','informasi','tempered,glass','kesehatan','tubuh'",Pelayanan,11,8.818181818181818
4,"'aplikasi','membantu','dokter','ramah','ramah','profesional','sukses','halodoc'",Pelayanan,8,9.0
5,"'membantu','posisi','di,luar','kota','kondisi','badan','fit','susah','cari','dokter','butuh','obat','sesuai','dosis','terbantu','aplikasi','super','terima,kasih','to','halodoc'",Anekdot/Serbaneka,22,7.045454545454546
5,"'membatu','terbantu','sat','dokter','konsultasi','di,sini'",Pelayanan,7,7.428571428571429
5,"'kali','coba','gomed','cepat','respon','pengiriman','tingkatkan'",Pelayanan,7,8.285714285714286
5,"'alhamdulilah','konsultasi','psikologi','halodoc'",Anekdot/Serbaneka,4,11.5
5,"'dokter','bagus','penjelasan','detail','saran','saran','pas','obat','diresepkan','oke'",Pelayanan,10,7.7
5,"'pelayanan','konsultasi','iya','enak','puas','terima,kasih','dokter','iman','terima,kasih','halodoc'",Pelayanan,12,7.416666666666667
5,"'membantu','aplikasi','disat','lelah','rumah','dibantu','tertawa','aplikasi','wow'",Anekdot/Serbaneka,9,8.222222222222221
1,"'tangapan','lambat','mengetik','keluhan','sokter','chat','masuk','pakai','pangilan','suara','suara','perbaiki','pemakaian','berbayar','gratis'",Pelayanan,15,8.533333333333333
5,"'cangih','berobat','di,mana','keren','pas','cobain','fre','skrng','bayar','ehehe'",Anekdot/Serbaneka,11,6.454545454545454
5,"'kendala','boking','tes','swab','antigen','klinik','tutup','operasial','di,mana','boking','tes','swab','antigen','tim','halodoc','cepat','respon','menelpon','konfirmasi','pengembalian,dana','masukan','kordinasi','klinik','rs','rekanan','ditingkatkan','sisa','bagus','terima','kasih'",Pelayanan,32,7.84375
5,"'kali','pakai','langsung','merasakan','puas','semoga','layanan','konsisten','prima','sehinga','menambah','kepercayan','thanks','iya','halodoc'",Anekdot/Serbaneka,15,8.533333333333333
4,"'pelayanan','oke','tertawa','pembayaran','mengunanakan','debit','kartu','kendala','walopun','opsi','pembayaran'",Pelayanan,11,9.181818181818182
1,"'dengar','sih','aplikasi','bagus','instal','eh','sat','masuk','aplikasi','ngak','ngerespon','sih'",Sistem,12,7.166666666666667
5,"'lumayan','lengkap','pelayanan','cepat','aplikasi','mudah','membantu'",Sistem,7,9.0
5,"'terima,kasih','kasih','silfia','mandasari','sp','dv','respon','cepat','arahan','resep'",Pelayanan,11,7.0
5,"'bagus','respon','cepat','akurat','sukses','halodoc'",Pelayanan,6,7.833333333333333
5,"'kemudahan','tertawa','rumah','sakit','ter','obati'",Pelayanan,6,7.666666666666667
5,"'pelayanan','dokter','ramah','cepat','balas','kali','terkesan'",Pelayanan,7,8.0
5,"'terbantu','situasi,dan,kondisi','sukses','halodoc'",anekdot/serbaneka,6,7.666666666666667
1,"'pesan','obat','dibayar','dibatalkan','bayar','obat','ratusan','ribu'",Pelayanan,8,7.75
1,"'pengembalian,dana','uang','telepon','customer','pelayanan'",Pelayanan,6,9.0
1,"'kali','konsultasi','bagus','kali','konsultasi','drh','pelayanan','parah','blsin','chat','luama','wktu','puluh','menit','habis','menyarankan','klinik','drh','langsung','curahan,hati','kucing','bla','bla','bla','konsultasi','drh','mencari','solusi','kucing','jwbn','mencla','mencle','bahasa','sopan','mangil','bpkatau','saudara','tlg','seleksi','rekrut','dokter','jelek','pelayanan','kuapok','deh'",Pelayanan,46,7.630434782608695
4,"'customer,service','halodoc','mengalami','kendala','sehinga','be','menelponatau','chat','tim','help','halodoc'",Anekdot/Serbaneka,12,8.25
2,"'sat','selesai','pembayaran','sukses','terpotong','saldo','eh','dokter','sibuk','pengembalian','dana','butuh','hinga','belas','terhitung','belas','masuk','konfirmasi','bank','terkait','aduh','otomatis','dana','dikembalikan','masuk','rekening','konfirmasi','bank','ribet','tolong','permudah','pengembalian,dana','orang','rumah','bank'",Sistem,36,8.277777777777779
5,"'sederhana','aplikasi','kebutuhan','medis','pesan','mudah','cepat'",Anekdot/Serbaneka,7,8.571428571428571
1,"'memgecewakan','kali','daftar','vaksin','csembilan','belas','lanjut,usia','ditolak','alasan','mesti','pakai','ktp','suket','domisili','sebenar','vaksinasi','csembilan','belas','mengunakan','suket','domisili','nama','vaksin','gratis','iya','warga','negara','indonesia','semoga','ulasan','dihapus','admin','halodoc'",Pelayanan,34,8.235294117647058
5,"'terima','kasih','gojek','vaksinasi','prambanan','bagus','pelayanan','le','nyuntik','blas','ra','loro'",Pelayanan,12,7.583333333333333
5,"'halodoc','profesional','halodoc','terbantu'",Anekdot/Serbaneka,4,10.25
5,"'alhamdulilah','konsultasi','dokter','tatap','muka'",Pelayanan,5,9.4
5,"'kali','konsultasi','puas','dokter','membantu'",Pelayanan,5,8.4
5,"'halodoc','bermanfat','cepat','respon','jempolan','halodoc'",Anekdot/Serbaneka,6,9.0
4,"'temanhidupsehat','membantu','konsultasi','informasi','terkait','kesehatan'",Pelayanan,6,11.666666666666666
5,"'dokter','anak','cepat','respon','aplikasi','membantu','sat','kondisi'",Pelayanan,8,7.875
5,"'apliaksi','membantu','sat','darurat','tengkyu','halodoc','ditungu','promo','menarik'",Pelayanan,9,8.555555555555555
5,"'alhamdulilah','memudahkan','konsultasi','dokter','spesialis'",Pelayanan,5,11.4
5,"'aplikasi','dokter','keluarga','sahabat','dijangkau','berjarak','pu','aplikasi','sakit','pencuri','panik','pastikan','saldo','gopay','sederhana','hub','dokter','infokan','keluhan','dibantu','obati','tungu','obat','dikirim','instant','beli','gojek','sunguh','terobosan','bermanfat','era','pandemi','mjd','berjarak','halodoc','mendekatkn','dokter','sukses','halodoc'",Anekdot/Serbaneka,39,8.35897435897436
1,"'sih','dokter','ngelewatin','chat','gtu','terima','ajuan','saldo','diambil','uang','diambil','konsultasi','tolong','customer','pelayanan','sih','keluhan','rugi','mengecewakan','halodoc'",Pelayanan,20,8.3
2,"'kemarin','kamis','tanggal','maret','puluh','puluh','jam','puluh','wita','telepon','mengatasnamakan','cal','center','halo','dokter','halodoc','menginfokan','fitur','halodoc','menyuruh','aktivasi','biaya','paket','bulanan','rp','puluh','sembilan','nol','auto','debit','bank','infokan','email','aktif','terdaftar','percaya','halodoc','menyetujui','informasi','gmailatau','email','dana','terpotong'",Anekdot/Serbaneka,43,8.209302325581396
5,"'membant','konsultasi','rumah','kondisi','covid'",Pelayanan,5,8.8
1,"'parah','vaksin','lanjut,usia','dosis','di,sini','parah','nungu','jam','tertawa','antre','heran','vaksin','lancar','habis','buruk','kasian','orgtua','vaksin','di,sini','lebih,baik','aplikasi','sebelah'",Pelayanan,26,6.769230769230769
4,"'dokter','di,sini','luamayan','berpengalaman','fitur','fitur','membantu'",Pelayanan,8,8.125
5,"'thankyou','halodoc','membantu','panik','keluhan'",Anekdot/Serbaneka,5,9.0
2,"'kali','instal','daftarin','vaksin','lanjut,usia','tangal','bertuliskan','slot','tersedia','isi','data','upload','ktp','giliran','submit','penuh','tulis','auto','recheck','eh','tep','tersedia','slot','resubmit','penuh','banget','perbaiki'",Sistem,28,7.535714285714286
5,"'membantu','pembelian','obat','kota'",Pelayanan,4,8.25
5,"'membantu','memudahkan','pasien','keluarga','pelayanan','kesehatan'",Pelayanan,6,10.333333333333334
5,"'konsultasi','memuaskan','direkomendasikan','sat','rumah','mengurangi','mobilitas','semoga','dokter','dokter','halodoc','sehat','membantu','melayani','keluhan','pasien','membutuhkan','direkomendasikan'",Pelayanan,18,10.222222222222221
5,"'kasih','bintang','semoga','aplikasi','pelayanan'",Pelayanan,5,9.0
5,"'membantu','dokter','enak','cepat','respon'",Pelayanan,5,7.8
5,"'puas','pelayanan','dilapangan','terkait','vaksin','terima','lancar','cepat','petugas','ramah','sabar','penuh','perhatian','terima,kasih','halodoc','salam','sehat'",Pelayanan,18,8.11111111111111
4,"'tolong','kasih','chat','docter','pembayaran'",Pelayanan,5,8.2
5,"'konsultasi','dokter','menghemat','thanks','halodoc'",Pelayanan,5,9.6
5,"'terbaik','situasi','apapun','jam','konsultasi'",Pelayanan,5,8.6
5,"'menyenangkan','langsung','konsultasi','dokter','rumah'",Pelayanan,5,10.2
1,"'janji','sesuai','jadwal','tersedia','lab','prodia','mega','galaxy','sby','sebelas','maret','jam','sembilan','pagi','h','prodia','tutup','heran','jadwal','tersedia','aplikasi','halodoc','orang','kecele','chat','bantuan','halodoc','slow','respon','tujuh','jam','solusi','sms','halodoc','membatalkanatau','mereschedul','coba','aplikasi','aplikasi','pembatalan','h','berlaku','hinga','jam','jdwl','konsultasi','reshedule','jam','jdwl','konsultasi','ampun','ampun','deh'",Pelayanan,53,7.811320754716981
5,"'semoga','halodoc','membantu','pasien','konsultasi','rumah','terima','kasih'",Pelayanan,8,8.625
5,"'pesan','obat','halodoc','pelayanan','cepat','respon','langsung','dikirim','pas','urgent'",Pelayanan,10,8.0
5,"'suka','aplikasi','membantu','pelayanan','bagus','kali','case','kirim','barang','kekurangan','langsung','kirim','kesokan','sukses','halodoc','ditingkatkan','pelayanan'",Pelayanan,17,8.882352941176471
5,"'menolong','pertolongan','kucing','drh','membantu'",Pelayanan,5,9.2
5,"'dokter','ramah','melayani','bijaksna','terima','kasih','halodoc'",Pelayanan,7,8.428571428571429
5,"'terima','kasih','vaksin','covid','efek','segnifikan'",Anekdot/Serbaneka,6,8.0
5,"'alhamdulilah','membantu','urusan','kesehatan','jam'",Pelayanan,5,9.6
5,"'enak','dipakai','aplikasi','cari','obat','harga','terjangkau'",Harga,7,8.0
5,"'keren','cepat','respon','konsultasi','dokter','kandungan'",Pelayanan,6,8.833333333333334
5,"'kasih','bintang','kasih','sepuluh','aplikasi','terbaik','pembelian','kebutuhan','medis','disat','darurat','rumah','bagus','masukan','tertawa','semoga','apotek','aplikasi','jarak','pickup','obat'",Pelayanan,21,8.333333333333334
5,"'puas','konsultasi','dokter','halodoc','pas','papua','susah','nebus','obat','tertawa','nunjukin','chat','obat','untung','tanda','tangan'",Pelayanan,16,7.5625
2,"'niat','instal','aplikasi','mempermudah','beli','obat','kondisi','sakit','kos','beli','estimasi','aplikasi','cocok','kondisi','urgent','beli','obat','orang','sakit','parah','terlanjur','wasalam','obat','mengedit','ulasan','aplikasi','halodoc','diperbaiki','sistemnya'",Sistem,29,8.241379310344827
3,"'selamat','siang','salam','telepon','mengatas','namakan','halodoc','biaya','claim','pengaktifan','biaya','bulanan','menyebut','nomor','rek','sistem','pemotongan','puluh','sembilan','ribu','mohon','konfirmasi','halodoc','takut','saldo','tepotong','terima','kasih'",Anekdot/Serbaneka,28,8.392857142857142
5,"'membantu','sat','pandemi','terima,kasih','halodoc'",Anekdot/Serbaneka,6,7.666666666666667
4,"'konsultasi','dokter','nyaman','sat','keluhan','foto','langsung','area','sakit','pertanyan','dokter','detail','semoga','resep','cocok','mengatasi','keluhan','terima,kasih','dok'",Pelayanan,20,7.9
5,"'praktis','oke','dokter','keluhan','terima,kasih','halodoc'",Pelayanan,7,7.571428571428571
5,"'terima,kasih','halodoc','aplikasi','terpercaya','chat','langsung','dokter'",Pelayanan,8,8.5
3,"'coba','kaji','vaksin','mitra','ojol','sejati','mitra','pakai','ojol','mencari','rezeki','gojek','grab','indriver','maxim','ntr','wajib','vaksin','mitran','repot','batalin','krj','vaksin','biar','mitra','vaksin','aparatur','pemerintah'",Anekdot/Serbaneka,28,7.428571428571429
5,"'halo','dokter','anak','bayi','berusia','anak','rawat','rumah','sakit','hasil','rongsen','mengidap','penyakit','radang','paru','tolong','dokter','anak','sembuh','total','penyakit','trimaksih'",Anekdot/Serbaneka,22,7.7272727272727275
5,"'respon','dokter','terima','kasih','halodoc'",Pelayanan,5,8.0
5,"'aplikasi','berguna','terima','kasih','mengadakan','kegiatan','vaksin','serentak','prambanan','sleman','terima','kasih','pemerintahan','diy','yogyakarta','sponsor','kegiatan','semoga','pembuatan','kegiatan','pahala','berlimpah','tuhan','maha','esa','terima','kasih','terbaik','regard','beny'",Pelayanan,30,8.733333333333333
2,"'posisi','pengambilan','obat','rumah','menungu'",Pelayanan,5,8.6
